architecture,mutation_score,execution_time,code_coverage,complexity,equivalent_rate,effectiveness
mvc,78.7,1894,82.6,14,5.5,low
microservices,77.0,3694,78.4,28,7.2,low
event_driven,83.5,2591,79.6,17,4.8,high
event_driven,81.2,1916,79.4,18,6.7,medium
microservices,58.3,2883,87.7,23,7.9,medium
hexagonal,88.6,2728,92.1,20,3.3,high
mvc,76.6,1255,89.9,10,3.5,medium
mvc,76.3,1365,93.9,9,6.8,medium
event_driven,72.6,2790,89.0,18,9.0,medium
hexagonal,81.2,2033,88.6,20,1.3,medium
mvc,66.6,1730,82.8,11,6.2,medium
microservices,59.3,3750,82.4,25,9.0,low
mvc,83.3,1218,89.0,14,5.5,high
microservices,63.1,3644,79.5,26,8.7,low
mvc,80.8,1271,88.3,13,5.2,low
mvc,76.8,2044,92.5,12,5.6,medium
hexagonal,82.5,1627,97.1,20,4.2,high
mvc,75.6,2096,92.0,11,7.1,medium
layered,87.1,1137,86.0,7,6.2,medium
microservices,59.2,4487,77.9,25,8.4,low
event_driven,83.8,2455,78.0,22,8.4,low
microservices,56.1,3361,76.1,28,11.5,medium
microservices,67.1,3690,82.4,24,7.2,medium
hexagonal,90.5,2092,96.3,20,2.8,medium
layered,84.1,990,86.1,10,4.1,high
microservices,70.4,2993,85.1,21,9.9,medium
layered,73.0,1723,89.9,15,4.8,high
mvc,79.4,1492,89.9,10,5.3,low
hexagonal,89.5,1510,94.6,20,3.2,high
mvc,66.4,2034,82.5,8,7.6,low
mvc,81.6,1112,83.2,15,7.1,medium
layered,86.1,1416,88.3,11,2.0,high
microservices,67.5,3362,75.4,17,7.9,low
mvc,77.9,1371,87.3,14,6.7,high
hexagonal,94.8,2176,92.3,17,3.5,medium
microservices,67.4,4931,91.0,24,10.5,medium
mvc,72.4,1915,88.9,16,7.2,low
layered,83.7,1147,89.7,10,4.5,high
mvc,68.6,1017,88.4,11,7.9,medium
layered,82.6,1473,95.8,7,4.0,high
event_driven,73.8,1922,82.5,15,5.2,low
hexagonal,80.5,1571,95.4,16,4.9,medium
mvc,70.3,1216,90.4,11,4.7,high
mvc,76.3,1951,84.0,9,7.4,medium
event_driven,77.8,3066,80.7,15,5.2,high
mvc,66.7,1864,87.9,16,6.5,medium
event_driven,63.0,2115,89.0,22,8.2,high
mvc,78.3,1055,86.7,14,3.0,high
event_driven,62.8,2799,87.5,19,9.9,low
hexagonal,77.2,1803,91.3,12,2.7,medium
microservices,57.9,4852,77.4,20,8.2,medium
hexagonal,91.9,1741,94.5,17,2.6,high
layered,79.1,1518,86.7,9,6.8,medium
microservices,57.8,2906,82.8,19,6.3,low
hexagonal,82.7,2186,90.9,15,2.8,low
event_driven,60.2,2620,81.7,17,9.0,low
event_driven,71.5,3128,83.7,15,7.2,high
mvc,75.9,1496,84.3,12,6.8,medium
event_driven,74.2,2771,83.5,21,4.3,high
layered,80.8,825,88.0,8,5.7,medium
layered,84.2,806,93.9,13,3.7,high
event_driven,76.0,3573,85.1,17,5.5,high
layered,83.3,1339,93.6,11,2.0,high
microservices,60.8,3513,78.1,24,8.0,medium
event_driven,81.4,2906,92.6,21,6.5,medium
layered,82.8,1471,89.0,7,5.3,high
hexagonal,94.6,2217,96.8,19,3.8,high
mvc,81.4,1481,82.9,14,3.3,high
microservices,60.1,4788,84.4,25,7.7,medium
layered,77.1,1754,94.6,9,4.5,high
layered,80.8,1200,95.8,11,6.7,high
mvc,65.1,2030,83.7,9,4.3,high
microservices,69.8,3864,86.6,23,11.7,medium
microservices,66.8,3844,86.3,19,6.7,low
event_driven,70.2,2872,93.4,16,5.8,medium
hexagonal,79.9,2181,90.5,22,2.2,high
layered,84.4,1765,86.2,6,3.6,medium
event_driven,66.4,2016,78.0,18,8.4,low
mvc,65.2,1966,92.8,15,3.8,medium
layered,77.5,1701,93.8,8,2.4,high
hexagonal,93.5,2293,96.7,17,1.5,high
mvc,69.2,1253,89.9,10,3.9,high
mvc,80.1,1137,87.2,11,6.4,medium
layered,76.5,1012,90.9,13,3.0,high
mvc,67.4,2168,89.3,10,3.8,medium
mvc,69.1,1259,92.4,11,3.7,low
layered,76.4,1705,91.4,13,6.3,medium
hexagonal,79.5,1593,88.8,20,1.4,medium
mvc,82.0,1546,90.0,14,6.0,high
